app_ID,app_name,currency,price,version,genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
281656475,PAC-MAN Premium,USD,3.99,6.3.5,Games,38,5,10,1
281796108,Evernote - stay organized,USD,0,8.2.2,Productivity,37,5,23,1
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",USD,0,5.0.0,Weather,37,5,3,1
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",USD,0,5.10.0,Shopping,37,5,9,1
282935706,Bible,USD,0,7.5.1,Reference,37,5,45,1
283619399,Shanghai Mahjong,USD,0.99,1.8,Games,47,5,1,1
283646709,PayPal - Send and request money safely,USD,0,6.12.0,Finance,37,0,19,1
284035177,Pandora - Music & Radio,USD,0,8.4.1,Music,37,4,1,1
284666222,PCalc - The Best Calculator,USD,9.99,3.6.6,Utilities,37,5,1,1
284736660,Ms. PAC-MAN,USD,3.99,4.0.4,Games,38,0,10,1
284791396,Solitaire by MobilityWare,USD,4.99,4.10.1,Games,38,4,11,1
284815117,SCRABBLE Premium,USD,7.99,5.19.0,Games,37,0,6,1
284815942,Google – Search made just for mobile,USD,0,27,Utilities,37,4,33,1
284847138,Bank of America - Mobile Banking,USD,0,7.3.8,Finance,37,0,2,1
284862767,FreeCell,USD,4.99,4.0.3,Games,38,5,2,1
284876795,TripAdvisor Hotels Flights Restaurants,USD,0,21.1,Travel,37,1,26,1
284882215,Facebook,USD,0,95,Social Networking,37,1,29,1
284910350,"Yelp - Nearby Restaurants, Shopping & Services",USD,0,11.15.0,Travel,37,5,18,1
284993459,"Shazam - Discover music, artists, videos & lyrics",USD,0,11.0.3,Music,37,3,16,1
285005463,Crash Bandicoot Nitro Kart 3D,USD,2.99,1.0.0,Games,47,0,1,1
285946052,iQuran,USD,1.99,3.3,Reference,43,0,2,1
285994151,:) Sudoku +,USD,2.99,5.2.6,Games,40,5,1,1
286058814,"Yahoo Sports - Teams, Scores, News & Highlights",USD,0,6.9,Sports,37,2,6,1
286070473,Mileage Log | Fahrtenbuch,USD,5.99,9.0.5,Business,37,5,3,1
286799607,Cleartune - Chromatic Tuner,USD,3.99,2.1.3,Music,43,2,10,1
286906691,Lifesum – Inspiring healthy lifestyle app,USD,0,8.4.1,Health & Fitness,37,5,11,1
286911400,Hangman.,USD,0,2.0.6,Games,38,0,1,1
288113403,iTranslate - Language Translator & Dictionary,USD,0,10.5.4,Productivity,37,5,23,1
288120394,TouchOSC,USD,4.99,1.9.8,Music,43,1,1,1
288419283,RadarScope,USD,9.99,3.4.1,Weather,37,5,1,1
288429040,LinkedIn,USD,0,9.1.32,Social Networking,37,2,23,1
289084315,Period Tracker Deluxe,USD,1.99,9.6,Health & Fitness,38,0,15,1
289446241,Election 2016 Map,USD,0.99,5,Entertainment,37,1,1,1
289523017,Blackjack by MobilityWare,USD,0,5.5.3,Games,37,5,5,1
289894882,White Noise,USD,0.99,7.2,Health & Fitness,37,5,3,1
290638154,iHeartRadio – Free Music & Radio Stations,USD,0,8.0.0,Music,37,5,2,1
290807369,Line Rider iRide™,USD,1.99,2.4,Entertainment,40,0,1,1
290986013,Deliveries: a package tracker,USD,4.99,8.0.3,Utilities,37,4,9,1
291430598,Hurricane Pro,USD,2.99,5.2,Weather,37,0,1,1
292421271,Fieldrunners,USD,2.99,1.7.177604,Games,37,0,1,1
292628469,Juxtaposer,USD,2.99,3.8.2,Photo & Video,37,5,1,1
292738169,Deezer - Listen to your Favorite Music & Playlists,USD,0,6.19.0,Music,37,5,21,1
293118835,iStellar,USD,3.99,2.9.0,Navigation,37,0,2,0
293523031,Sonos Controller,USD,0,7.2,Music,37,4,12,1
293573778,Avertinoo,USD,4.99,3.9.2,Navigation,38,5,7,1
293622097,Google Earth,USD,0,7.1.6,Travel,43,5,30,1
293760823,iFart - The Original Fart Sounds App,USD,1.99,4.0.8,Entertainment,37,5,1,1
293778748,PAC-MAN,USD,0,6.3.5,Games,38,5,10,1
294056623,FOX Sports Mobile,USD,0,3.5.13,Sports,37,0,1,0
294536447,First Words Animals,USD,1.99,7,Games,38,5,1,1
294631159,WeatherPro,USD,1.99,4.8.2,Weather,37,0,13,1
294934058,HotSchedules,USD,2.99,4.56.1,Business,37,2,2,1
295430577,Star Walk - Find Stars And Planets in Sky Above,USD,4.99,7.2.3,Education,37,0,12,1
295646461,"The Weather Channel: Forecast, Radar & Alerts",USD,0,8.11,Weather,37,0,33,1
295759189,Big Day - Event Countdown,USD,0.99,8.2.0,Lifestyle,38,0,7,1
295775656,12 Steps AA Companion - Alcoholics Anonymous,USD,2.99,2.5.9.2,Lifestyle,37,5,1,1
296581815,OpenTable - Restaurant Reservations,USD,0,10.18.0,Food & Drink,37,1,6,1
297244048,VLC Remote,USD,4.99,9.3,Entertainment,37,5,33,1
297332787,gFlashPro - Flashcards & Tests,USD,3.99,7.1,Education,37,3,3,1
297368629,Lose It! – Weight Loss Program and Calorie Counter,USD,0,8.0.2,Health & Fitness,37,3,1,1
297430070,Target,USD,0,8.21.0,Shopping,37,0,1,1
297606726,Fish Tycoon,USD,0.99,1.1.0,Games,47,0,1,1
297606951,"Amazon App: shop, scan, compare, and read reviews",USD,0,9.10.0,Shopping,37,5,8,1
297694601,Touchgrind,USD,4.99,1.5.1,Games,40,0,0,1
298127110,ProPresenter Remote,USD,4.99,4.8.1,Utilities,37,5,1,1
298206806,iReal Pro - Music Book & Play Along,USD,12.99,7.0.1,Music,37,5,33,1
298596830,NRJ Radio,USD,0,5.2.6,Music,37,5,4,1
